"filename", "language", "XML", "Java", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\pom.xml", "XML", 18, 0, 0, 0, 1, 5, 24
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\controller\NatsysTestController.java", "Java", 0, 71, 0, 0, 25, 9, 105
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\controller\NatsysTestDoctorController.java", "Java", 0, 72, 0, 0, 24, 9, 105
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\controller\NatsysTestSchemeController.java", "Java", 0, 72, 0, 0, 24, 9, 105
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\domain\NatsysTest.java", "Java", 0, 135, 0, 0, 17, 29, 181
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\domain\NatsysTestDoctor.java", "Java", 0, 136, 0, 0, 17, 29, 182
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\domain\NatsysTestScheme.java", "Java", 0, 71, 0, 0, 11, 15, 97
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\mapper\NatsysTestDoctorMapper.java", "Java", 0, 12, 0, 0, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\mapper\NatsysTestMapper.java", "Java", 0, 12, 0, 0, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\mapper\NatsysTestSchemeMapper.java", "Java", 0, 12, 0, 0, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\service\INatsysTestDoctorService.java", "Java", 0, 12, 0, 0, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\service\INatsysTestSchemeService.java", "Java", 0, 12, 0, 0, 42, 8, 62
"c:\Users\HP\Desktop\JavaCode\RuoYi-Vue-master\natsys\src\main\java\com\ruoyi\natsys\service\INatsysTestService.java", "Java", 0, 12, 0, 0, 42, 8, 62
